Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
12009,South Shore--St. Margarets,validated,Jordan,,Bernadette,Liberal,Libéral,21886,41.7,439,52957
12009,South Shore--St. Margarets,validated,Matthews,,Jason,VCP,CAC,125,.2,439,52957
12009,South Shore--St. Margarets,validated,McMahon,,Shawn,Independent,Indépendant(e),165,.3,439,52957
12009,South Shore--St. Margarets,validated,Monk,,Robert,People's Party,Parti populaire,667,1.3,439,52957
12009,South Shore--St. Margarets,validated,Perkins,,Rick,Conservative,Conservateur,14744,28.1,439,52957
12009,South Shore--St. Margarets,validated,Schulthies,,Kevin,Christian Heritage Party,Parti de l'Héritage Chrétien,124,.2,439,52957
12009,South Shore--St. Margarets,validated,Trappenberg,,Thomas,Green Party,Parti Vert,6070,11.6,439,52957
12010,Sydney--Victoria,preliminary,Battiste,,Jaime,Liberal,Libéral,12536,30.9,0,40576
12010,Sydney--Victoria,preliminary,Foster,,Lois,Green Party,Parti Vert,2249,5.5,0,40576
12010,Sydney--Victoria,preliminary,Joy,,Randy,VCP,CAC,254,.6,0,40576
12010,Sydney--Victoria,preliminary,MacKinnon,,Archie,Independent,Indépendant(e),5679,14,0,40576
12010,Sydney--Victoria,preliminary,MacNeil,,Kenzie,Independent,Indépendant(e),480,1.2,0,40576
12010,Sydney--Victoria,preliminary,McDavid,,Jodi,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8150,20.1,0,40576
12010,Sydney--Victoria,preliminary,Orrell,,Eddie,Conservative,Conservateur,11228,27.7,0,40576
12010,Sydney--Victoria,validated,Battiste,,Jaime,Liberal,Libéral,12536,30.9,528,41093
12010,Sydney--Victoria,validated,Foster,,Lois,Green Party,Parti Vert,2249,5.5,528,41093
12010,Sydney--Victoria,validated,Joy,,Randy,VCP,CAC,248,.6,528,41093
12010,Sydney--Victoria,validated,MacKinnon,,Archie,Independent,Indépendant(e),5679,14,528,41093
12010,Sydney--Victoria,validated,MacNeil,,Kenzie,Independent,Indépendant(e),480,1.2,528,41093
12010,Sydney--Victoria,validated,McDavid,,Jodi,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8146,20.1,528,41093
12010,Sydney--Victoria,validated,Orrell,,Eddie,Conservative,Conservateur,11227,27.7,528,41093
12011,West Nova,preliminary,Cook,,Gloria Jane,VCP,CAC,453,1,0,46846
12011,West Nova,preliminary,Deveau,,Jason,Liberal,Libéral,17034,36.4,0,46846
12011,West Nova,preliminary,Dubois,,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5020,10.7,0,46846
12011,West Nova,preliminary,Green,,Judy N,Green Party,Parti Vert,5949,12.7,0,46846
12011,West Nova,preliminary,d'Entremont,,Chris,Conservative,Conservateur,18390,39.3,0,46846
